labels,EH_ID,dpi,weight,weight_dpi0,weightloss,fecweight_flot,Expe,Eimeria,fecweight_DNA,Conc_DNA,P260_280,P260_230,V_H2O,Moist,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,dilution
BOX,LM0212,9,20.71,21.58,4.031510658,2.07,Expe005_1b,E64,0.105,94.8,1.92,0.53,44.8,1,6,4,3,4,1
BPU,LM0206,7,16.89,16.97,0.4714201532,0.9,Expe005_1b,E64,0.069,157.4,1.92,2.37,107.4,0,28,25,51,47,1
BQS,LM0220,10,19.72,19.72,0,0.9,Expe005_1b,E64,0.157,18.8,1.57,0.75,NA,0,2,2,0,1,1
BQX,LM0222,10,23.87,23.99,0.5002084202,1.1,Expe005_1b,E64,0.139,57.6,1.84,1.65,7.6,1,0,0,0,0,1
BTY,LM0210,1,15.95,15.65,-1.9169329073,NA,Expe005_1b,E64,0.109,74.2,1.87,1.84,24.2,0,NA,NA,NA,NA,NA
BUV,LM0206,5,15.27,16.97,10.0176782557,0.6,Expe005_1b,E64,0.141,118.4,1.84,1.53,68.4,1,0,0,0,1,1
BWY,LM0223,6,21.57,20.73,-4.0520984081,1.17,Expe005_1b,E64,0.043,95.9,1.89,1.67,45.9,0,8,7,5,8,1
BXY,LM0226,1,15.24,15.16,-0.5277044855,NA,Expe005_1b,E64,0.126,44.4,1.87,1.27,NA,0,NA,NA,NA,NA,NA
CDS,LM0217,3,17.41,17.74,1.8602029312,1.2,Expe005_1b,E64,0.102,67.5,1.83,2.05,17.5,1,0,0,0,0,1
CDZ,LM0219,9,20.66,19,-8.7368421053,1.11,Expe005_1b,E64,0.069,142.1,1.81,1.46,92.1,0,0,0,1,0,1
CEJ,LM0220,9,19.66,19.72,0.3042596349,1.16,Expe005_1b,E64,0.102,67.3,1.92,1.26,17.3,1,0,2,0,1,1
CER,LM0219,5,19.03,19,-0.1578947368,0.7,Expe005_1b,E64,0.086,78.6,1.88,2.15,28.6,0,0,1,2,1,1
CEV,LM0217,2,17.49,17.74,1.4092446449,,Expe005_1b,E64,0.09,140.4,1.87,1.84,90.4,1,NA,NA,NA,NA,NA
CEY,LM0214,9,28.05,27.43,-2.2602989428,1.27,Expe005_1b,E64,NA,NA,NA,NA,NA,NA,6,6,3,9,2
CFO,LM0213,2,15.58,15.39,-1.2345679012,,Expe005_1b,E64,0.091,76.1,1.95,0.74,26.1,1,NA,NA,NA,NA,NA
CGL,LM0219,6,20.11,19,-5.8421052632,1.48,Expe005_1b,E64,0.06,43,1.95,1.93,NA,0,213,189,306,284,1
CGQ,LM0213,4,14.74,15.39,4.2235217674,0.86,Expe005_1b,E64,0.165,76.3,1.78,0.25,26.3,0,2,1,1,0,1
CGX,LM0218,3,20.2,20.36,0.7858546169,1.74,Expe005_1b,E64,0.076,93,1.84,2.14,43,0,0,0,0,0,2
CHN,LM0219,0,19,19,0,1.67,Expe005_1b,E64,0.142,56.6,1.87,1.88,6.6,1,0,0,0,0,1
CIM,LM0220,3,19,19.72,3.6511156187,1.4,Expe005_1b,E64,0.057,85.6,1.73,1.57,35.6,0,0,0,0,0,2.5
CIO,LM0204,0,19.26,19.26,0,2.15,Expe005_1b,E64,0.105,90.7,1.91,1.03,40.7,1,0,0,0,0,1
CNR,LM0212,8,20.18,21.58,6.4874884152,1.71,Expe005_1b,E64,0.104,117.8,1.88,1.89,67.8,0,10,8,8,12,1
CPS,LM0215,5,22.3,23.9,6.6945606695,0.7,Expe005_1b,E64,0.12,114.3,1.85,1.45,64.3,0,2,4,3,6,1
CPY,LM0207,0,17.27,17.27,0,1.03,Expe005_1b,E64,0.092,NA,NA,NA,NA,1,0,0,0,0,1
CRW,LM0222,0,23.99,23.99,0,2.47,Expe005_1b,E64,0.12,52.1,1.8,0.34,2.1,1,0,0,0,0,1
CSV,LM0226,7,16.06,15.16,-5.9366754617,0.97,Expe005_1b,E64,0.083,126.3,1.91,2.42,76.3,0,17,13,14,20,1
CWX,LM0210,6,16.15,15.65,-3.1948881789,0.91,Expe005_1b,E64,0.069,70.9,1.85,1.17,20.9,0,30,32,45,50,1
DEI,LM0221,2,20.02,19.73,-1.4698428789,NA,Expe005_1b,E64,0.127,114.4,1.91,1.23,64.4,0,NA,NA,NA,NA,NA
DER,LM0226,10,15.79,15.16,-4.1556728232,1.56,Expe005_1b,E64,0.131,122.6,1.86,2.15,72.6,0,0,0,0,1,1
DES,LM0214,0,27.43,27.43,0,1.12,Expe005_1b,E64,0.136,60.4,1.83,0.21,10.4,0,0,0,0,0,1
DFL,LM0220,5,18.19,19.72,7.7586206897,0.74,Expe005_1b,E64,0.059,53.8,1.86,1.98,3.3,0,8,37,17,26,1
DFN,LM0217,6,17.4,17.74,1.916572717,1.31,Expe005_1b,E64,0.072,126.1,1.91,2.08,76.1,0,187,184,182,278,1
DFV,LM0219,10,19.4,19,-2.1052631579,1.78,Expe005_1b,E64,0.103,96.5,1.85,1.01,46.5,1,0,0,0,0,1
DGM,LM0222,2,23.83,23.99,0.6669445602,NA,Expe005_1b,E64,0.123,12.3,1.85,1.08,NA,1,NA,NA,NA,NA,NA
DGN,LM0220,1,19.99,19.72,-1.369168357,NA,Expe005_1b,E64,0.129,21.9,1.99,0.83,NA,0,NA,NA,NA,NA,NA
DGQ,LM0215,3,24.29,23.9,-1.6317991632,1.84,Expe005_1b,E64,0.098,109.5,1.84,0.54,59.5,1,0,0,0,0,1
DHK,LM0206,9,16.75,16.97,1.2964054213,0.68,Expe005_1b,E64,0.078,160.3,1.92,2.28,110.3,0,0,0,0,0,1
DHQ,LM0209,6,21.71,22.09,1.7202354006,1.38,Expe005_1b,E64,0.163,101.3,1.88,2.05,51.3,1,80,79,83,95,1
DIK,LM0212,10,20.68,21.58,4.1705282669,1.34,Expe005_1b,E64,0.1,47.1,1.81,1.69,NA,0,2,0,2,0,1
DIT,LM0208,1,23.15,22.82,-1.4460999124,NA,Expe005_1b,E64,0.15,77.4,1.87,1.69,27.4,0,NA,NA,NA,NA,NA
DJU,LM0211,6,14.26,17.42,18.1400688863,0.2,Expe005_1b,E64,0.025,113.8,1.91,2.25,63.8,0,18,15,15,26,1
DJW,LM0213,3,15.95,15.39,-3.6387264457,0.93,Expe005_1b,E64,0.047,98.6,1.87,2.1,48.6,0,0,0,0,0,1
DKM,LM0211,10,17.94,17.42,-2.9850746269,0.89,Expe005_1b,E64,0.141,108.4,1.9,2.16,58.4,0,0,1,1,2,1
DLQ,LM0214,5,25.41,27.43,7.3641997813,0.92,Expe005_1b,E64,0.097,122.7,1.84,1.82,72.7,0,0,1,0,0,1
DMY,LM0213,7,15.43,15.39,-0.2599090318,0.84,Expe005_1b,E64,0.051,78.3,1.84,1.21,28.3,0,53,58,85,63,1
DNY,LM0212,7,19.67,21.58,8.8507877665,1.5,Expe005_1b,E64,0.108,88.7,1.87,1.06,38.7,0,31,24,38,35,1
DPV,LM0208,6,21.83,22.82,4.3382997371,0.68,Expe005_1b,E64,0.126,131.6,1.89,0.5,81.6,1,59,48,72,54,1
DPZ,LM0213,5,13.47,15.39,12.4756335283,0.23,Expe005_1b,E64,0.111,149.1,1.88,1.76,99.1,0,5,1,5,6,1
DRT,LM0213,9,16.67,15.39,-8.3170890188,0.92,Expe005_1b,E64,NA,NA,NA,NA,NA,NA,2,4,11,6,1
DRW,LM0210,7,16.85,15.65,-7.6677316294,1.15,Expe005_1b,E64,0.067,101.3,1.9,2.3,51.3,0,77,73,99,82,1
DUX,LM0225,1,27.75,28.05,1.0695187166,NA,Expe005_1b,E64,0.218,16.1,1.43,1.37,NA,0,NA,NA,NA,NA,NA
EFJ,LM0226,9,15.77,15.16,-4.0237467018,1.66,Expe005_1b,E64,0.173,109.4,1.87,2.39,59.4,1,5,3,3,3,1
EFV,LM0218,1,20.44,20.36,-0.3929273084,NA,Expe005_1b,E64,0.118,47,1.76,1.25,NA,0,NA,NA,NA,NA,NA
EFW,LM0226,8,15.96,15.16,-5.2770448549,1.52,Expe005_1b,E64,0.149,111.6,1.93,2.31,61.6,1,4,1,1,2,1
EGN,LM0224,3,17.97,19.21,6.4549713691,1.4,Expe005_1b,E64,0.114,60.1,1.8,0.25,10.1,0,0,0,0,0,1
EHM,LM0207,10,17.61,17.27,-1.968731905,0.85,Expe005_1b,E64,NA,NA,NA,NA,NA,NA,0,0,0,0,1
EIJ,LM0214,10,28.34,27.43,-3.317535545,1.15,Expe005_1b,E64,0.209,95.4,1.87,1.86,45.5,1,0,0,2,0,1
EIL,LM0224,5,18.41,19.21,4.1644976575,0.78,Expe005_1b,E64,0.184,55.6,1.91,1.81,5.6,0,6,6,1,4,1
EJL,LM0219,7,20.45,19,-7.6315789474,1.64,Expe005_1b,E64,0.082,75.3,1.92,1.81,25.3,0,65,56,40,48,1
EKY,LM0210,10,17.84,15.65,-13.9936102236,1.24,Expe005_1b,E64,0.187,59.2,1.87,2.04,9.2,1,0,0,0,1,1
ELT,LM0215,0,23.9,23.9,0,1.73,Expe005_1b,E64,0.165,61.6,1.84,0.38,11.6,0,0,0,0,0,1
ELY,LM0225,2,28.64,28.05,-2.1033868093,NA,Expe005_1b,E64,0.171,66.4,1.89,0.47,16.4,1,NA,NA,NA,NA,NA
EMQ,LM0224,1,19.96,19.21,-3.9042165539,NA,Expe005_1b,E64,0.118,25.6,1.84,1.53,NA,0,NA,NA,NA,NA,NA
ENO,LM0215,7,25.42,23.9,-6.359832636,1.29,Expe005_1b,E64,0.123,103.8,1.86,1.91,53.8,0,33,26,42,20,1
EPS,LM0220,2,20.31,19.72,-2.9918864097,NA,Expe005_1b,E64,0.211,15.7,1.8,1.25,NA,1,NA,NA,NA,NA,NA
EQZ,LM0215,9,25.25,23.9,-5.6485355649,1.47,Expe005_1b,E64,0.143,112.2,1.9,2.34,62.2,1,0,0,0,0,1
ERU,LM0206,1,17.39,16.97,-2.4749558044,NA,Expe005_1b,E64,0.067,134.9,1.87,2,84.9,0,NA,NA,NA,NA,NA
ETX,LM0226,4,15.08,15.16,0.5277044855,1.94,Expe005_1b,E64,0.159,36.1,1.82,0.6,NA,1,0,0,0,0,1
EUV,LM0214,7,24.93,27.43,9.1141086402,2.39,Expe005_1b,E64,0.108,100,1.94,1.93,50,1,51,41,70,56,2
EWX,LM0215,4,22.96,23.9,3.9330543933,1.76,Expe005_1b,E64,0.24,87.4,1.87,1.31,37.4,1,1,1,2,2,2
FGI,LM0210,4,16.07,15.65,-2.6837060703,0.96,Expe005_1b,E64,0.083,57.4,1.93,1.14,NA,1,0,0,0,0,1
FGK,LM0223,4,21.42,20.73,-3.3285094067,1.1,Expe005_1b,E64,0.103,101.3,1.92,2.15,51.3,0,1,1,0,2,1
FGT,LM0225,0,28.05,28.05,0,1.28,Expe005_1b,E64,0.074,129.8,1.86,2.05,79.8,0,0,0,0,0,1
FHR,LM0208,8,23.44,22.82,-2.7169149869,1.78,Expe005_1b,E64,0.124,148.7,1.83,1.92,98.7,0,22,10,15,16,1
FHV,LM0213,0,15.39,15.39,0,1.4,Expe005_1b,E64,0.094,103,1.82,2.06,53,0,0,0,0,0,1
FHX,LM0208,7,22.66,22.82,0.7011393514,1.64,Expe005_1b,E64,0.06,130.2,1.9,2.38,80.2,0,81,89,100,97,2
FIU,LM0222,5,21.62,23.99,9.8791162985,0.54,Expe005_1b,E64,0.094,77.3,1.89,1.92,27.3,1,2,4,3,3,1
FIW,LM0206,2,16.21,16.97,4.4784914555,NA,Expe005_1b,E64,0.168,70.8,1.88,1.41,20.8,1,NA,NA,NA,NA,NA
FJL,LM0206,10,16.22,16.97,4.4195639364,1.26,Expe005_1b,E64,NA,NA,NA,NA,NA,NA,0,0,0,0,1
FKY,LM0217,0,17.74,17.74,0,1.3,Expe005_1b,E64,0.094,69,1.86,0.97,19,0,0,0,0,0,1
FLM,LM0214,1,27.03,27.43,1.4582573824,NA,Expe005_1b,E64,0.174,81.4,1.89,1.92,31.4,0,NA,NA,NA,NA,NA
FMY,LM0224,2,19.92,19.21,-3.695991671,NA,Expe005_1b,E64,0.075,88.4,1.93,0.47,38.4,0,NA,NA,NA,NA,NA
FNP,LM0211,4,17.05,17.42,2.1239954076,0.8,Expe005_1b,E64,0.131,70.2,1.85,0.89,20.2,1,0,0,0,0,1
FNU,LM0207,1,17.8,17.27,-3.0689056167,,Expe005_1b,E64,0.075,58.8,1.84,1.87,8.8,0,NA,NA,NA,NA,NA
FOX,LM0207,2,16.72,17.27,3.1847133758,,Expe005_1b,E64,0.071,85.9,1.88,1.79,35.9,0,NA,NA,NA,NA,NA
FOZ,LM0209,1,21.96,22.09,0.5885015844,,Expe005_1b,E64,0.238,81.6,1.84,2.18,31.6,1,NA,NA,NA,NA,NA
FPS,LM0211,8,17.26,17.42,0.9184845006,1.11,Expe005_1b,E64,0.065,101.8,1.89,2.23,51.8,0,13,12,17,11,1
FPY,LM0211,1,17.7,17.42,-1.607347876,,Expe005_1b,E64,0.07,116.2,1.89,2.24,66.2,0,NA,NA,NA,NA,NA
FQS,LM0221,0,19.73,19.73,0,1.54,Expe005_1b,E64,0.12,78.2,1.9,1.82,28.2,1,0,0,0,0,1
FVX,LM0222,8,23.38,23.99,2.5427261359,1.5,Expe005_1b,E64,0.126,118.3,1.91,2.4,68.3,0,23,11,14,18,1
FWY,LM0204,9,20.55,19.26,-6.6978193146,1.64,Expe005_1b,E64,0.147,127.3,1.92,2.11,77.3,1,0,0,0,0,1
GHI,LM0211,3,17.4,17.42,0.1148105626,1.04,Expe005_1b,E64,0.074,133.4,1.88,2.35,83.4,0,0,0,0,0,1
GHT,LM0212,1,21.55,21.58,0.1390176089,,Expe005_1b,E64,0.15,81.6,1.83,2.09,31.6,0,NA,NA,NA,NA,NA
GIL,LM0225,6,27.58,28.05,1.6755793226,1.82,Expe005_1b,E64,0.077,126.3,1.9,2.09,76.3,1,11,5,10,8,2
GIQ,LM0216,4,16.29,18.37,11.3228089276,1.05,Expe005_1b,E64,0.302,103.3,1.87,1.04,53.3,0,0,0,0,2,1
GKL,LM0209,9,23.11,22.09,-4.6174739701,1.26,Expe005_1b,E64,0.093,50,1.9,1.51,0,1,0,0,1,0,1
GKS,LM0218,10,20.92,20.36,-2.7504911591,1.28,Expe005_1b,E64,0.182,51.6,1.86,0.96,1.6,0,1,1,1,0,1
GKV,LM0212,3,21.06,21.58,2.4096385542,1.22,Expe005_1b,E64,0.142,69.5,1.95,0.26,19.5,0,0,0,0,0,1
GLO,LM0225,3,30.2,28.05,-7.6648841355,1.59,Expe005_1b,E64,0.366,71.2,1.85,0.9,21.2,1,0,0,0,0,1
GMN,LM0215,1,23.94,23.9,-0.1673640167,,Expe005_1b,E64,0.203,41.3,1.83,1.84,NA,1,NA,NA,NA,NA,NA
GMX,LM0215,6,23.61,23.9,1.2133891213,1.32,Expe005_1b,E64,0.077,86.2,1.89,2.05,36.2,1,265,291,312,268,1
GNX,LM0209,4,21.54,22.09,2.4898143957,1.72,Expe005_1b,E64,0.137,75.8,1.83,2.21,25.8,1,0,0,0,1,1.5
GQU,LM0208,0,22.82,22.82,0,1.94,Expe005_1b,E64,0.134,64.5,1.85,0.2,14.5,1,0,0,0,0,1
GRU,LM0210,5,15.94,15.65,-1.8530351438,0.64,Expe005_1b,E64,0.104,72.1,1.74,1.12,22.1,0,5,17,8,20,1
GTU,LM0221,7,18.91,19.73,4.1561074506,1.3,Expe005_1b,E64,0.122,120.3,1.84,1.01,70.3,1,85,60,70,73,1
GTX,LM0224,4,18.9,19.21,1.6137428423,2.01,Expe005_1b,E64,0.117,1.4,2.9,0.03,NA,1,2,2,3,3,1
HIM,LM0209,3,22.22,22.09,-0.5885015844,1.14,Expe005_1b,E64,0.233,65.6,1.86,0.5,15.6,0,0,0,0,0,1
HJN,LM0222,7,21.91,23.99,8.670279283,1.27,Expe005_1b,E64,0.201,83.8,1.91,2.23,33.8,1,168,139,165,157,1
HJQ,LM0212,0,21.58,21.58,0,1.29,Expe005_1b,E64,0.15,71,1.9,0.26,21,1,0,0,0,0,1
HLO,LM0212,4,19.42,21.58,10.0092678406,1.59,Expe005_1b,E64,0.247,46.7,1.9,0.12,NA,1,0,0,0,1,1
HLP,LM0204,5,18.73,19.26,2.7518172378,0.79,Expe005_1b,E64,0.111,112,1.82,2.15,62,0,3,4,4,4,1
HLV,LM0204,3,19.99,19.26,-3.790238837,1.05,Expe005_1b,E64,0.095,146.8,1.86,0.52,96.8,0,0,0,0,0,1
HMZ,LM0217,10,19.45,17.74,-9.6392333709,1.18,Expe005_1b,E64,0.093,128.9,1.8,1.67,78.9,1,0,0,0,0,1
HOZ,LM0221,6,18.45,19.73,6.4875823619,0.9,Expe005_1b,E64,0.049,142.6,1.89,2.02,92.6,0,14,14,26,29,1
HPQ,LM0209,0,22.09,22.09,0,1.08,Expe005_1b,E64,0.17,18.6,1.7,0.76,NA,1,0,0,0,0,1
HQU,LM0226,2,15.69,15.16,-3.4960422164,NA,Expe005_1b,E64,0.09,79.8,1.94,0.61,29.8,1,NA,NA,NA,NA,NA
HQY,LM0210,2,15.53,15.65,0.7667731629,NA,Expe005_1b,E64,0.099,101.4,1.91,2.33,51.4,1,NA,NA,NA,NA,NA
HTY,LM0212,2,21.11,21.58,2.1779425394,NA,Expe005_1b,E64,0.134,72.9,1.89,0.83,22.9,1,NA,NA,NA,NA,NA
IJU,LM0222,4,22.35,23.99,6.8361817424,0.92,Expe005_1b,E64,0.328,1.8,2.52,0.36,NA,1,0,1,1,0,1
ILQ,LM0204,1,19.08,19.26,0.9345794393,NA,Expe005_1b,E64,0.283,39.9,1.81,0.32,NA,1,NA,NA,NA,NA,NA
IMR,LM0224,6,18.09,19.21,5.8302967205,1.29,Expe005_1b,E64,0.099,98.9,1.89,1.43,48.9,1,21,20,25,24,1
INU,LM0218,6,20.12,20.36,1.1787819253,1.18,Expe005_1b,E64,0.117,104.6,1.89,0.93,54.6,1,21,22,33,22,1
IOQ,LM0211,7,15.05,17.42,13.6050516648,0.86,Expe005_1b,E64,0.054,102.9,1.89,0.96,52.9,0,119,117,123,130,1.5
IOV,LM0208,2,23.39,22.82,-2.4978089395,NA,Expe005_1b,E64,0.127,80.9,1.89,1.95,30.9,1,NA,NA,NA,NA,NA
IQW,LM0226,5,14.33,15.16,5.4749340369,0.36,Expe005_1b,E64,0.088,95.7,1.89,2.13,45.7,0,0,3,3,9,1
IUY,LM0209,2,22.59,22.09,-2.2634676324,NA,Expe005_1b,E64,0.118,89.1,1.86,1.56,39.1,0,NA,NA,NA,NA,NA
JKO,LM0207,4,16.79,17.27,2.7793862189,0.96,Expe005_1b,E64,0.066,64.5,1.87,2.26,14.5,1,0,1,0,0,1
JLW,LM0223,7,21.9,20.73,-5.6439942113,1.42,Expe005_1b,E64,0.061,119.7,1.89,2.48,69.7,0,11,7,5,8,2
JLZ,LM0218,0,20.36,20.36,0,1.32,Expe005_1b,E64,0.161,79.5,1.89,0.28,29.5,1,0,0,0,0,1
JMO,LM0204,8,20.42,19.26,-6.0228452752,1.76,Expe005_1b,E64,0.146,126.5,1.84,1.57,76.5,0,1,0,1,5,1
JMW,LM0216,3,16.84,18.37,8.3287969516,1.16,Expe005_1b,E64,0.102,129.6,1.86,2.27,79.6,0,0,0,0,0,1
JMZ,LM0222,9,23.71,23.99,1.1671529804,1.36,Expe005_1b,E64,0.146,73.8,1.81,2.08,23.8,1,5,4,11,7,1
JNR,LM0226,6,15.79,15.16,-4.1556728232,0.66,Expe005_1b,E64,0.061,122.9,1.91,1.82,72.9,0,2,1,1,0,1
JOW,LM0216,7,17.88,18.37,2.6673924878,1.85,Expe005_1b,E64,0.086,127.5,1.88,1.34,77.5,0,11,12,16,13,2
KNO,LM0226,0,15.16,15.16,0,1.21,Expe005_1b,E64,0.071,96.6,1.87,1.96,46.6,1,0,0,0,0,1
KNV,LM0221,10,18.72,19.73,5.1191079574,1.06,Expe005_1b,E64,0.097,75.1,1.83,1.75,25.1,0,0,0,0,0,1
KNW,LM0215,8,24.82,23.9,-3.8493723849,1.52,Expe005_1b,E64,0.071,61.1,1.89,2.19,22.4,0,2,7,8,4,1
